Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200,MidPrice,TypicalPrice,Range,Trend,Return,R_CloToClo,Diff-20,Diff-200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,ZScore_20,Stoch_%K,Stoch_%D,Volatility_20,TrueRange,ATR,Momentum_10,ROC_10,DayOfWeek,DayOfMonth,Month
2017-07-17,21645.9,21667.7,21606.65,21624.3,32827,21490.7,21397.32,21437.37,20194.47,21637.175000000003,21632.883333333335,61.04999999999927,-21.600000000002183,-0.0009978795060497452,-0.0004252663692884129,208.53000000000247,1451.4300000000003,65.54282541765504,93.37999551761459,83.77411620830301,9.605879309311575,21626.88087379986,21247.849126200144,379.03174759971444,1.972763507899237,89.92208324789802,91.48571585184881,94.7579368999286,61.04999999999927,141.89214285714272,148.20000000000073,0.006900694260131064,0,17,7
2017-07-18,21620.6,21649.8,21457.45,21574.25,44224,21503.55,21410.42,21442.98,20211.0,21553.625,21560.5,192.34999999999854,-46.349999999998545,-0.0021437887940204503,-0.0023145257881179715,177.61999999999898,1409.5999999999985,57.21703011422632,93.12828764578444,85.64495049579929,7.483337149985147,21641.976512100216,21243.978487899785,397.99802420043125,1.3193281576080438,79.65962681976613,87.1300662975871,99.4995060501078,192.34999999999854,143.487857142857,93.34999999999854,0.004345721082449922,1,18,7
2017-07-19,21565.65,21629.55,21549.65,21628.45,35504,21522.77,21426.57,21453.99,20227.96,21589.6,21602.55,79.89999999999782,62.79999999999927,0.002912038357295016,0.0025122541919186947,111.65999999999985,1337.6900000000023,71.74439545426324,96.19343632004166,87.75464766064778,8.438788659393879,21668.646871578865,21239.338128421135,429.3087431577296,1.6254735341917224,88.82098673423762,86.13423226730056,107.32718578943249,79.89999999999782,126.90571428571404,157.65000000000146,0.007342530320248964,2,19,7
2017-07-20,21639.45,21669.0,21569.65,21614.45,48842,21536.87,21440.49,21464.96,20244.39,21619.325,21617.7,99.34999999999854,-25.0,-0.0011552973850998986,-0.0006472955759658783,174.4900000000016,1395.0600000000013,67.72469094553959,96.38187546574409,89.48009322166703,6.901782244077054,21689.14941492885,21240.760585071148,448.38882985770033,1.3336193057926697,85.34307149600043,84.60789501666802,112.09720746442446,99.34999999999854,123.99142857142813,298.7999999999993,0.014017869499639901,3,20,7
2017-07-21,21623.1,21634.0,21495.55,21573.45,40245,21542.5,21450.34,21474.11,20261.61,21564.775,21567.666666666668,138.45000000000073,-49.64999999999782,-0.0022961555003675614,-0.001896879171110033,148.98999999999796,1361.489999999998,57.34883369819596,92.16048875122578,90.01617232757879,2.1443164236469983,21700.420858871566,21247.799141128435,452.62171774313174,0.8779074985206673,75.15774829830582,83.10726884284793,113.155429435783,138.45000000000073,119.14499999999965,164.15000000000146,0.007667228727702515,4,21,7
2017-07-24,21556.45,21573.91,21487.65,21528.45,32946,21540.34,21456.12,21480.34,20278.52,21530.78,21530.00333333333,86.2599999999984,-28.0,-0.0012989151738806715,-0.0020858972487015626,76.11000000000058,1277.9300000000003,53.38410077574545,84.21312891789785,88.8555636456426,-4.642434727744757,21705.36565078019,21255.30434921981,450.06130156038125,0.4276306346107521,63.97873503254343,74.82651827561652,112.51532539009501,86.2599999999984,120.41785714285677,121.79999999999927,0.005689820686562319,0,24,7
2017-07-25,21535.7,21679.65,21529.85,21605.45,36679,21550.35,21467.19,21494.79,20296.04,21604.75,21604.983333333334,149.8000000000029,69.75,0.0032388081186123505,0.00357666250937716,40.909999999999854,1239.6599999999999,58.749756319449084,83.16932131152862,87.71831517881981,-4.548993867291188,21712.489944638997,21277.090055361004,435.39988927799277,1.0166286462176413,81.84665068258539,73.66104467114485,108.84997231949886,151.20000000000073,123.34285714285683,199.15000000000146,0.009303335933813946,1,25,7
2017-07-26,21604.4,21738.41,21603.65,21702.45,42035,21573.75,21484.61,21507.8,20313.85,21671.03,21681.50333333333,134.7599999999984,98.04999999999927,0.004538427357390127,0.00448960794614317,96.60000000000218,1290.550000000003,77.18965274848865,89.14161653375777,88.00297544980741,1.1386410839503611,21742.699331723463,21272.905668276533,469.7936634469297,1.6573020467909532,92.30802139037452,79.37780236850108,117.44841586173156,134.7599999999984,120.6614285714282,172.79999999999927,0.00802614069434474,2,26,7
2017-07-27,21710.85,21797.85,21688.05,21793.95,68253,21607.63,21507.53,21533.59,20332.39,21742.949999999997,21759.949999999997,109.79999999999927,83.10000000000218,0.00382757929790875,0.004216113848897196,177.2599999999984,1378.4599999999991,77.12049636889239,100.1040516334142,90.42319068652878,9.680860946885417,21775.508313428127,21291.66168657187,483.84662685625517,2.152458945031394,99.25987778494746,91.13818328596909,120.96165671406297,109.79999999999927,120.40785714285683,245.5,0.01139293081404927,3,27,7
2017-07-28,21753.7,21837.7,21747.05,21826.8,47520,21641.35,21531.18,21557.47,20350.75,21792.375,21803.850000000002,90.65000000000146,73.09999999999854,0.0033603478948408105,0.0015072990440005984,196.22999999999956,1402.9500000000007,78.41347129235116,110.17257996922854,94.37306854306874,15.799511426159796,21816.44065238342,21298.48934761658,517.951304766837,2.0800024830229353,98.07688914765585,96.5482627743259,129.48782619171,90.65000000000146,121.17928571428534,193.29999999999927,0.008935216215591527,4,28,7
2017-07-31,21825.7,21923.46,21824.8,21891.8,36114,21679.88,21557.89,21578.25,20369.2,21874.129999999997,21880.02,98.65999999999985,66.09999999999854,0.0030285397490114195,0.002977990360474303,247.45000000000073,1456.5,80.19278606965175,121.9906853039065,99.8965918952363,22.094093408670204,21873.865023478804,21282.634976521203,591.2300469576003,2.121340088268437,93.84118585379139,97.05931759546486,147.80751173939944,98.65999999999985,116.43428571428532,267.5,0.012370342623807476,0,31,7
2017-08-01,21974.95,22015.15,21939.31,21959.7,37279,21722.93,21587.65,21602.19,20388.19,21977.230000000003,21971.38666666667,75.84000000000015,-15.25,-0.000693971999936291,0.00310161795740882,372.76000000000204,1586.760000000002,78.72553603633689,135.2762016167835,106.97251383954574,28.30368777723777,21939.254341196716,21265.12565880328,674.1286823934352,2.1213160593060256,90.05737851891686,93.99181784012133,168.53217059835913,123.35000000000218,113.05928571428532,385.4500000000007,0.017866206241236693,1,1,8
2017-08-02,21997.6,22033.2,21963.95,22007.5,44992,21766.71,21618.75,21629.03,20407.5,21998.575,22001.55,69.25,9.900000000001455,0.0004500490962651133,0.0021767146181412844,368.5699999999997,1590.0999999999985,79.51900199344091,147.95657819676853,115.1693267109903,32.78725148577823,22005.23022884677,21252.819771153234,752.4104576935351,2.0120666645713015,95.53625705601377,93.14494047624062,188.10261442338336,73.5,114.00571428571389,379.0499999999993,0.017525527719277123,2,2,8
2017-08-03,21999.1,22037.3,21978.5,22019.6,40044,21805.62,21648.44,21664.22,20426.52,22007.9,22011.8,58.79999999999927,20.5,0.0009318563032124042,0.0005498125638985218,334.8799999999974,1572.579999999998,77.3985239852398,157.17047348653796,123.56955606609984,33.60091742043812,22048.611813992542,21279.833186007458,768.7786279850843,1.8490498412080896,96.9474864189013,94.18037399794395,192.1946569962713,58.79999999999927,107.00571428571389,405.1499999999978,0.018744404784761946,3,3,8
2017-08-04,22037.5,22102.2,22022.95,22082.75,43443,21848.25,21680.62,21697.9,20446.07,22062.575,22069.3,79.25,45.25,0.0020533182076006807,0.00286789950771138,339.59999999999854,1591.4300000000003,80.21883857359444,167.63582764818784,132.38281038251745,35.253017265670394,22105.54293362731,21290.247066372693,815.2958672546156,1.8881734371888326,96.98332687088008,96.48902344859835,203.82396681365398,82.60000000000218,108.54499999999982,509.2999999999993,0.023607721528081937,4,4,8
2017-08-07,22118.35,22124.3,22082.95,22118.6,22272,21889.84,21713.06,21733.49,20465.67,22103.625,22108.61666666667,41.349999999998545,0.25,1.1302832263708642e-05,0.001623439109712299,384.85999999999694,1652.6800000000003,86.56545979713842,176.78462845690592,141.26317399739514,35.52145445951078,22158.045611519807,21308.939388480194,849.1062230396128,1.8141782007975291,99.10468860441361,97.67850063139831,212.27655575990357,41.54999999999927,97.77357142857129,590.1499999999978,0.027412563375440305,0,7,8
2017-08-08,22103.9,22179.0,22057.3,22084.3,36600,21919.76,21740.56,21767.39,20485.21,22118.15,22106.86666666667,121.70000000000073,-19.600000000002183,-0.0008867213478165474,-0.001550731058927779,336.51000000000204,1618.6900000000023,81.46179860583894,179.20167036166822,148.85087327024976,30.350797091418457,22190.213142920973,21344.571857079023,845.6412858419499,1.4990162155315159,86.30216243581386,94.13005930370248,211.4103214604875,121.70000000000073,100.75928571428578,478.84999999999854,0.022163389330006944,1,8,8
2017-08-09,22037.7,22059.8,21995.3,22045.3,56897,21939.07,21763.13,21793.18,20504.65,22027.55,22033.466666666664,64.5,7.599999999998545,0.0003448635746923928,-0.001765960433430136,244.52000000000044,1533.0499999999993,78.74441256921745,175.94206877295437,154.26911237079068,21.672956402163692,22217.83796047709,21368.51203952291,849.3259209541793,1.1874122467226653,80.66102552976047,88.68929218999592,212.33148023854505,89.0,100.02000000000018,342.84999999999854,0.015797755552944416,2,9,8
2017-08-10,22010.55,22026.4,21843.65,21847.7,79095,21925.02,21769.4,21808.14,20523.12,21935.025,21905.916666666668,182.75,-162.84999999999854,-0.0073987247024721575,-0.008963361805010561,202.40999999999985,1487.4300000000003,65.13437448264452,155.62024908068634,154.53933971276982,1.0809093679165187,22217.299317012745,21398.975682987257,818.323634025488,0.19338314747374233,52.079265205756855,73.01415105711035,204.5809085063724,201.64999999999782,104.53428571428569,53.75,0.002466280779757685,3,10,8
