Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200,MidPrice,TypicalPrice,Range,Trend,Return,R_CloToClo,Diff-20,Diff-200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Volatility_20,TrueRange,ATR
2023-03-24,3960.12,3980.27,3906.94,3979.86,282402,3957.31,3973.58,3958.08,3935.7,3943.605,3955.69,73.32999999999993,19.740000000000236,0.004984697433411169,0.005906750680527484,2.0399999999999636,24.420000000000073,44.163006344558326,-16.275477410616986,-22.609311322559254,6.333833911942268,4059.743043275081,3856.4119567249195,203.33108655016167,50.83277163754044,73.32999999999993,88.5292857142857
2023-03-27,3978.79,4005.11,3968.36,3985.42,216770,3961.63,3974.46,3958.02,3937.24,3986.735,3986.2966666666666,36.75,6.630000000000109,0.0016663357452894245,0.001397034066525027,20.769999999999982,41.55000000000018,49.73072918536603,-12.827362455385355,-20.652921549124475,7.82555909373912,4059.6167869420515,3856.421213057947,203.1955738841043,50.798893471026034,36.75,85.3042857142857
2023-03-28,3984.07,3995.03,3952.26,3977.32,192656,3964.05,3974.67,3958.65,3938.72,3973.6450000000004,3974.8700000000003,42.76999999999998,-6.75,-0.001694247340031676,-0.0020324081276251738,25.420000000000073,45.350000000000364,48.244148659086434,-10.62582096675169,-18.647501432649918,8.021680465898228,4060.574339753356,3856.7186602466445,203.85567950671157,50.96391987667785,42.76999999999998,86.10928571428569
2023-03-29,3978.57,4032.91,3977.56,4029.42,166081,3974.1,3978.73,3962.28,3940.3,4005.2349999999997,4013.2966666666666,55.34999999999991,50.84999999999991,0.012780974068572353,0.013099272877213686,16.289999999999964,38.26999999999998,60.47029096189026,-4.62374919113563,-15.84275098434706,11.21900179321143,4068.991173014222,3855.566826985778,213.42434602844423,53.35608650711114,55.58999999999969,82.19428571428567
2023-03-30,4029.67,4059.61,4023.91,4054.17,180477,3986.42,3984.32,3966.05,3941.73,4041.76,4045.896666666667,35.70000000000027,24.5,0.006079902324507962,0.006142323212769973,63.61999999999989,87.94000000000005,67.14549518903686,2.105779968576826,-12.253044793762284,14.35882476233911,4080.2771301696253,3851.8208698303747,228.45626033925055,57.11406508481265,35.70000000000027,77.97428571428567
2023-03-31,4051.84,4113.91,4049.46,4111.22,161346,4005.62,3993.72,3969.16,3943.49,4081.685,4091.53,64.44999999999982,59.38000000000011,0.014655070289053888,0.014071930876110361,82.68000000000029,108.35000000000036,72.54375371748893,11.905202757882762,-7.4213952834332755,19.32659804131604,4095.6386966588457,3842.6843033411537,252.95439331769194,63.238598329423056,64.44999999999982,73.18499999999995
2023-04-03,4105.52,4130.31,4095.76,4126.77,187037,4024.26,4003.57,3972.92,3945.2,4113.035,4117.613333333334,34.55000000000018,21.25,0.005175958222100976,0.0037823322517402946,132.60000000000036,160.32000000000062,70.17464854916402,20.687597219500276,-1.7995967828465655,22.48719400234684,4113.4008362334525,3832.437163766548,280.9636724669044,70.24091811672618,34.55000000000018,69.54071428571423
2023-04-04,4124.72,4145.11,4088.76,4105.82,192887,4036.81,4011.15,3978.79,3946.16,4116.9349999999995,4113.23,56.349999999999454,-18.900000000000546,-0.0045821292111950735,-0.005076609551780353,145.9300000000003,178.5600000000004,71.20917110387025,25.661409436214853,3.692604460965719,21.968804975249135,4131.294531757984,3826.2834682420153,305.011063515969,76.25276587899224,56.349999999999454,66.62642857142848
2023-04-05,4106.94,4108.56,4072.61,4087.62,182510,4044.62,4016.81,3983.33,3947.05,4090.585,4089.596666666667,35.95000000000027,-19.31999999999971,-0.004704232348171561,-0.0044327320730085384,123.60999999999967,159.88999999999942,63.851336376933645,27.81398129334184,8.516879827440944,19.297101465900894,4143.313794005185,3823.339205994816,319.97458801036873,79.99364700259227,35.95000000000027,61.7657142857142
2023-04-06,4086.69,4108.21,4070.01,4103.52,168743,4053.69,4023.23,3992.58,3948.44,4089.11,4093.913333333334,38.19999999999982,16.830000000000382,0.004118247285700746,0.0038897940610920223,94.11000000000013,138.25,72.47651742716826,30.451876836181327,12.903879229189021,17.547997606992304,4158.077706084635,3827.090293915365,330.9874121692701,82.74685304231757,38.19999999999982,58.969285714285625
2023-04-07,4101.77,4120.09,4093.94,4114.46,23169,4063.04,4029.99,4004.42,3949.9,4107.015,4109.496666666667,26.15000000000009,12.6899999999996,0.0030937863410185357,0.002666003821109486,97.35000000000036,151.87000000000035,70.34192205923905,33.04428073058625,16.931959529468468,16.112321201117783,4169.191031338823,3839.6469686611767,329.5440626776467,82.38601566941178,26.15000000000009,54.254999999999946
2023-04-10,4113.49,4117.61,4074.06,4113.77,127877,4070.84,4036.2,4017.05,3951.56,4095.835,4101.8133333333335,43.54999999999973,0.28000000000065484,6.806872023528801e-05,-0.00016770122932285858,96.4399999999996,161.92999999999984,65.60649135276007,34.64375066801904,20.474317757178582,14.169432910840456,4174.1175117126895,3859.99048828731,314.1270234253793,78.53175585634486,43.54999999999973,52.944285714285634
2023-04-11,4113.02,4127.01,4104.16,4112.87,148643,4077.31,4041.88,4026.66,3953.0,4115.585,4114.68,22.850000000000364,-0.1500000000005457,-3.6469552786163373e-05,-0.00021877742314235782,86.36000000000058,160.02000000000044,81.93653376729033,35.43030118118713,23.465514441980293,11.96478673920684,4182.412815997006,3870.913184002995,311.499631994011,77.87490799850285,22.850000000000364,46.909999999999954
2023-04-12,4112.49,4152.16,4088.66,4092.17,252861,4079.59,4045.6,4036.66,3954.4,4120.41,4110.996666666667,63.5,-20.31999999999971,-0.004941045449350566,-0.00503298183506895,75.82999999999993,158.0899999999997,74.69063910321731,33.99149829342787,25.570711212269806,8.42078708115806,4181.366936200846,3891.9440637991534,289.42287240169253,72.35571810042318,63.5,44.97785714285711
2023-04-13,4092.32,4151.81,4085.31,4143.37,204006,4089.41,4052.84,4045.69,3955.95,4118.56,4126.830000000001,66.50000000000045,51.04999999999973,0.012474586542596797,0.012511699171833035,46.63000000000011,136.37000000000035,77.0184077464555,36.56119405608433,27.768807781032713,8.79238627505162,4193.480080141619,3897.9059198583814,295.57416028323723,73.89354007080935,66.50000000000045,44.49000000000001
2023-04-14,4143.47,4164.16,4113.91,4147.52,202017,4098.35,4059.86,4057.32,3957.42,4139.035,4141.863333333334,50.25,4.050000000000182,0.0009774416129476457,0.0010016001467405555,86.15000000000009,186.05000000000018,76.91081745135794,38.488890803965205,29.912824385619214,8.576066418345992,4198.234010104763,3916.407989895237,281.8260202095262,70.45650505238166,50.25,45.454285714285724
2023-04-17,4150.92,4156.91,4125.11,4153.42,174553,4106.82,4066.79,4067.19,3958.7,4141.01,4145.1466666666665,31.800000000000182,2.5,0.0006022761219199599,0.0014225368412930095,83.73000000000002,192.22000000000025,79.45013044350782,40.03122995624926,31.936505499745223,8.09472445650404,4205.872002966628,3928.5029970333712,277.3690059332571,69.34225148331431,31.800000000000182,44.67071428571431
2023-04-18,4153.27,4175.96,4142.21,4155.22,153928,4114.27,4073.34,4074.53,3959.96,4159.085,4157.796666666666,33.75,1.949999999999818,0.00046950956716029004,0.00043337779468499704,78.74000000000024,193.3100000000004,75.29354994370266,40.927008722781466,33.734606144352476,7.19240257842899,4215.631371249056,3933.4286287509444,282.202742498112,70.55068562452794,33.75,43.11071428571433
2023-04-19,4153.94,4164.76,4128.26,4150.32,146847,4119.81,4079.04,4085.04,3961.4,4146.51,4147.78,36.5,-3.619999999999891,-0.0008714617929002083,-0.0011792396070485767,68.89999999999964,192.5399999999995,71.00904601669338,40.77154184501842,35.141993284485665,5.629548560532754,4214.858387926589,3955.216612073411,259.64177585317793,64.91044396329448,36.5,43.167857142857166
2023-04-20,4149.04,4150.41,4114.36,4131.22,170090,4121.57,4082.91,4093.77,3962.95,4132.385,4131.996666666667,36.05000000000018,-17.81999999999971,-0.004294969438713464,-0.004602054781317921,55.26999999999998,186.09000000000015,55.23889354568312,38.661457632013935,35.84588615399132,2.815571478022612,4209.973269750154,3977.5747302498467,232.39853950030738,58.09963487507674,36.05000000000018,41.13928571428577
2023-04-21,4131.22,4139.16,4113.66,4131.52,177504,4123.1,4086.51,4101.36,3964.63,4126.41,4128.113333333334,25.5,0.3000000000001819,7.261777392639025e-05,7.261777392630897e-05,29.860000000000582,166.59000000000015,51.35227466833683,36.59160296220034,35.99502951563313,0.5965734465672128,4205.415796355185,3997.2982036448147,208.11759271037045,52.0293981775926,25.5,40.49285714285718
2023-04-24,4129.29,4144.11,4113.16,4136.92,146938,4125.22,4090.24,4108.93,3966.34,4128.635,4131.3966666666665,30.949999999999818,7.630000000000109,0.001847775283402258,0.001307025017426966,20.359999999999673,162.94999999999982,59.71389305347338,34.98369285950139,35.79276218440678,-0.8090693249053942,4198.503886707625,4019.3601132923764,179.14377341524823,44.78594335381215,30.949999999999818,38.678571428571495
2023-04-25,4136.82,4138.31,4071.81,4089.32,176922,4119.7,4090.17,4114.53,3967.47,4105.06,4099.8133333333335,66.50000000000045,-47.499999999999545,-0.01148224965069777,-0.011506144668013918,22.289999999999964,169.3499999999999,50.448596157905925,29.528108672377584,34.53983148200095,-5.011722809623365,4180.2996063595,4048.7643936405,131.5352127189999,32.88380317975005,66.50000000000045,40.860714285714366
2023-04-26,4092.22,4096.96,4050.16,4066.42,215209,4111.5,4088.41,4116.38,3968.62,4073.56,4071.1800000000003,46.80000000000018,-25.799999999999727,-0.00630464637776066,-0.005599953048428641,-24.16000000000031,123.59999999999991,40.55883550488588,23.09050728733928,32.24996664306862,-9.15945935572934,4173.594085068078,4059.1699149319206,114.4241701361575,28.6060425340394,46.80000000000018,41.4750000000001
2023-04-27,4066.82,4146.91,4062.31,4139.37,156723,4115.79,4092.19,4120.64,3969.6,4104.61,4116.196666666667,84.59999999999991,72.54999999999973,0.01783949129786903,0.01793961273060818,-53.820000000000164,97.22000000000025,54.818368215404824,23.60303603367811,30.520580521190517,-6.917544487512409,4170.57452482833,4070.7094751716695,99.86504965666063,24.96626241416505,84.59999999999991,45.65000000000009
2023-04-28,4130.84,4175.56,4113.66,4172.62,197552,4124.53,4098.15,4123.71,3970.7,4144.610000000001,4153.946666666667,61.900000000000546,41.779999999999745,0.010114165641854864,0.008032623321906573,7.130000000000109,160.14000000000033,60.1099467445455,26.388031079571192,29.694070632866655,-3.306039553295463,4178.51770719364,4068.906292806361,109.61141438727873,27.402853596819718,61.900000000000546,46.96071428571444
2023-05-01,4173.27,4189.51,4161.86,4162.99,141534,4130.45,4102.95,4125.52,3971.58,4175.6849999999995,4171.453333333333,27.650000000000546,-10.280000000000655,-0.0024632961682327418,-0.0023079024689524053,47.75,201.6900000000005,58.35946360664486,27.501083824022317,29.255473271097788,-1.7543894470754715,4183.078880068578,4067.9671199314207,115.11176013715703,28.777940034289365,27.650000000000546,47.303571428571594
2023-05-02,4162.49,4175.33,4089.61,4117.17,182923,4128.41,4104.0,4126.09,3972.36,4132.47,4127.37,85.7199999999998,-45.31999999999971,-0.010887713844357515,-0.01100651214631787,36.399999999999636,190.12999999999965,53.8473376423515,24.40457433521351,28.285293483920935,-3.880719148707424,4183.049118579357,4069.131881420644,113.9172371587133,28.479309289678245,85.7199999999998,48.89071428571443
2023-05-03,4116.87,4150.16,4079.56,4080.57,201929,4121.05,4102.27,4125.74,3972.96,4114.86,4103.429999999999,70.59999999999991,-36.29999999999973,-0.008817378250952721,-0.008889601352385257,-8.86999999999989,143.90999999999985,39.88076055430233,18.780761210531637,26.384387029243076,-7.603625818711439,4183.776102765113,4067.699897234886,116.07620553022707,29.019051382556746,70.59999999999991,49.18357142857154
2023-05-04,4075.14,4102.26,4047.46,4059.27,251207,4111.54,4099.08,4123.53,3973.57,4074.86,4069.6633333333334,54.80000000000018,-15.86999999999989,-0.0038943447341686153,-0.0052198589902882064,-48.38999999999987,101.56999999999971,36.52466025347371,12.461468748623702,23.599803373119205,-11.138334624495503,4188.13192610164,4058.919073898362,129.21285220327763,32.30321305081936,54.80000000000018,49.50857142857155
2023-05-05,4062.07,4148.26,4061.94,4134.37,171089,4115.06,4101.7,4124.52,3974.14,4105.1,4114.856666666667,86.32000000000016,72.29999999999973,0.0177988070121883,0.01850086345574442,-62.45000000000027,87.93000000000029,47.59863859826041,13.359328287030621,21.55170835590149,-8.192380068870868,4189.152837322884,4059.8891626771156,129.26367464576833,32.315918661442105,88.99000000000024,53.59357142857156
2023-05-08,4136.57,4147.26,4124.01,4137.19,149121,4118.46,4104.32,4125.69,3974.31,4135.635,4136.153333333333,23.25,0.6199999999998909,0.000149882632229091,0.0006820869926977835,10.88000000000011,162.25999999999976,47.733044987049475,14.135493699889594,20.068465424699113,-5.932971724809519,4190.352323993076,4061.031676006923,129.3206479861533,32.33016199653841,23.25,52.84357142857156
2023-05-09,4136.12,4139.36,4117.91,4121.57,139210,4118.94,4105.6,4126.13,3974.26,4128.635,4126.28,21.449999999999818,-14.550000000000182,-0.0035177896192567387,-0.0037755094641531706,9.989999999999782,161.85999999999967,46.48008031538479,13.336472371504897,18.722066814060273,-5.385594442555377,4190.540713511668,4061.7132864883306,128.8274270233378,32.206856755834416,21.449999999999818,51.76857142857154
2023-05-10,4120.44,4160.39,4099.56,4139.12,201661,4122.04,4108.09,4128.47,3974.35,4129.975,4133.0233333333335,60.82999999999993,18.68000000000029,0.004533496422712209,0.004258086117668869,-8.030000000000655,146.0899999999997,50.97089765018185,13.958475919106604,17.76934863506954,-3.8108727159629368,4191.07410634604,4065.8748936539605,125.19921269207953,31.299803173019836,60.82999999999993,53.53857142857152
2023-05-11,4138.57,4155.26,4108.21,4132.12,200968,4123.59,4109.87,4127.91,3974.53,4131.735000000001,4131.863333333334,47.05000000000018,-6.449999999999818,-0.0015585093401826763,-0.0016911807340690421,10.659999999999854,164.0399999999995,50.07254437297473,13.728325126838172,16.96114393342327,-3.2328188065850973,4190.149172036495,4065.674827963506,124.47434407298897,31.118586018247136,47.05000000000018,55.07785714285725
2023-05-12,4130.49,4151.31,4098.36,4118.56,176778,4122.82,4110.51,4126.46,3974.37,4124.835,4122.743333333333,52.95000000000073,-11.929999999999382,-0.0028882771777681056,-0.003281608472164299,4.029999999999745,156.1199999999999,47.8230969883804,12.309850003246538,16.030885147387924,-3.7210351441413856,4188.125236957267,4064.802763042733,123.32247391453348,30.830618478633305,52.95000000000073,56.64928571428589
2023-05-15,4118.87,4144.26,4110.81,4136.34,144152,4124.9,4112.42,4125.61,3974.3,4127.535,4130.47,33.44999999999982,17.470000000000255,0.004241454573705957,0.0043170428499281766,-6.739999999999782,144.5699999999997,55.99928549555988,12.476573481875675,15.320022814285476,-2.8434493324098007,4186.162433650474,4065.057566349528,121.1048673009459,30.276216825236432,33.44999999999982,54.28857142857156
2023-05-16,4136.27,4139.96,4107.56,4114.94,158354,4123.37,4112.61,4123.6,3974.16,4123.76,4120.82,32.399999999999636,-21.330000000000837,-0.005156820033508653,-0.005173655937374733,12.670000000000073,162.11000000000058,56.214457707874324,10.757891609213402,14.407596573271062,-3.64970496405766,4182.6629730136465,4064.5290269863526,118.13394602729386,29.533486506823543,32.399999999999636,53.26000000000009
2023-05-17,4113.14,4166.46,4109.01,4158.02,155100,4128.7,4115.97,4123.98,3974.2,4137.735000000001,4144.496666666667,57.44999999999982,44.88000000000011,0.01091137184729917,0.010469168444740662,-10.839999999999236,138.9400000000005,52.58661340878208,12.725330123689673,14.071143283354786,-1.3458131596651128,4183.875969087959,4064.0860309120408,119.789938175918,29.947484543979456,57.44999999999982,51.32071428571437
2023-05-18,4157.07,4202.66,4148.91,4202.42,170786,4140.04,4122.38,4127.54,3974.56,4175.785,4184.663333333333,53.75,45.350000000000364,0.010909125898770135,0.010678159316212854,29.529999999999745,182.50999999999976,54.009040520906225,17.663632890032204,14.789641204690271,2.8739916853419327,4196.95506861759,4058.1269313824087,138.8281372351812,34.70703430879529,53.75,50.73857142857147
2023-05-19,4202.92,4215.11,4178.71,4186.22,191152,4147.14,4127.11,4130.28,3974.44,4196.91,4193.346666666667,36.399999999999636,-16.699999999999818,-0.0039734279976777614,-0.00385492168797974,72.64000000000033,228.48000000000002,53.07088279618228,20.03907086491563,15.839527136735343,4.199543728180286,4204.494418028675,4056.0575819713245,148.43683605735032,37.109209014337615,36.399999999999636,51.363571428571404
2023-05-22,4175.84,4211.91,4175.84,4198.42,163302,4155.03,4132.39,4133.35,3974.35,4193.875,4195.39,36.06999999999971,22.579999999999927,0.00540729529867043,0.002914323661919349,42.48999999999978,201.49000000000024,61.78868866254608,22.645022886662446,17.200626286720766,5.44439659994168,4213.581095389812,4053.12090461019,160.46019077962183,40.115047694905414,36.06999999999971,47.81714285714283
2023-05-23,4198.29,4213.66,4144.41,4150.42,180323,4154.32,4133.72,4136.41,3973.7,4179.035,4169.496666666667,69.25,-47.86999999999989,-0.011402261396902046,-0.011432872366271107,61.88000000000011,224.59000000000015,59.81011769332321,20.599600420662682,17.88042111350915,2.7191793071535315,4214.192597789926,4058.619402210073,155.5731955798533,38.89329889496341,69.25,47.720714285714266
2023-05-24,4150.54,4157.66,4105.61,4141.82,195189,4152.4,4134.32,4140.18,3972.94,4131.635,4135.03,52.05000000000018,-8.720000000000255,-0.0021009314450650407,-0.002072079452200115,10.359999999999673,177.5999999999999,62.022661734292576,18.07626828438697,17.919590547684713,0.1566777367022567,4210.645251943072,4069.706748056929,140.93850388614328,35.234625971535785,52.05000000000018,47.52428571428569
2023-05-25,4146.07,4166.46,4123.44,4149.87,222555,4152.01,4135.48,4140.7,3972.14,4144.95,4146.59,43.02000000000044,3.800000000000182,0.000916530594032465,0.0019435900159834318,5.369999999999891,173.92999999999984,52.80532831390718,16.535466544747578,17.642765747097286,-1.107299202349708,4211.301298165057,4070.1007018349414,141.2005963301158,35.30014908252884,43.02000000000044,44.240714285714276
2023-05-26,4149.17,4213.36,4137.66,4210.97,166594,4161.08,4141.07,4142.62,3971.8,4175.51,4187.330000000001,75.69999999999982,61.80000000000018,0.014894545174095103,0.014723352779725696,6.550000000000182,177.3699999999999,61.02708196329294,20.01392140349435,18.1169968783767,1.896924525117651,4218.736529753972,4066.500470246027,152.2360595079449,38.0590148769863,75.69999999999982,47.987142857142835
2023-05-29,4232.72,4232.72,4214.16,4219.16,59169,4170.02,4146.85,4145.43,3971.46,4223.4400000000005,4222.013333333333,18.5600000000004,-13.5600000000004,-0.0032036137519137575,0.0019449200540491152,87.28999999999996,261.2600000000002,64.91700039741983,23.16446100617668,19.1264897039367,4.037971302239981,4228.533948749601,4062.3200512503995,166.21389749920172,41.55347437480051,21.75,48.00857142857142
2023-05-30,4218.27,4236.36,4193.61,4206.82,195756,4175.68,4151.29,4149.91,3971.36,4214.985,4212.263333333333,42.75,-11.450000000000728,-0.0027143829105298442,-0.00292475279439508,68.36000000000058,246.9100000000003,60.51568810189495,24.38446256376301,20.178084275901963,4.206378287861046,4236.208758635258,4063.6102413647413,172.59851727051682,43.149629317629135,42.75,46.71714285714285
2023-05-31,4205.02,4210.51,4167.11,4181.42,203443,4176.56,4153.53,4154.95,3971.53,4188.8099999999995,4186.346666666666,43.400000000000546,-23.600000000000364,-0.005612339537029636,-0.006037814786465701,50.07000000000062,233.49000000000024,57.243608580664144,23.036207800462762,20.749708980814123,2.2864988196486387,4235.805771737336,4074.0982282626646,161.70754347467118,40.42688586866788,43.400000000000546,46.456428571428596
2023-06-01,4181.47,4232.91,4171.41,4224.72,188304,4183.97,4158.8,4163.22,3972.02,4202.16,4209.68,61.5,43.25,0.010343252492544487,0.010355333833960811,18.25,209.45000000000027,64.34439520051882,25.17149301097561,21.63406578684642,3.537427224129189,4236.344693041793,4090.1043069582056,146.2403860835875,36.560096520896785,61.5,47.06714285714283
2023-06-02,4224.87,4291.21,4222.11,4282.17,174781,4199.08,4167.94,4170.61,3972.69,4256.66,4265.163333333333,69.10000000000036,57.30000000000018,0.013562547486668273,0.013598534340737434,54.26000000000022,252.17999999999984,67.79673427546308,31.140488625925173,23.53535035466217,7.605138271263002,4259.608148850536,4081.6208511494647,177.98729770107138,44.49682442526786,69.10000000000036,49.61357142857144
