Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200
2022-07-26,31873.2,31953.75,31702.65,31811.4,415623,31579.95,31459.93,31306.27,34030.55
2022-07-27,31802.2,32357.2,31802.2,32195.4,444355,31674.63,31514.41,31362.87,34015.32
2022-07-28,32193.8,32654.2,31987.75,32612.2,482768,31818.87,31595.73,31455.86,34001.02
2022-07-29,32575.8,32927.2,32503.75,32856.9,444564,31978.57,31689.15,31543.81,33987.47
2022-08-01,32832.8,32990.75,32654.3,32833.7,479967,32110.13,31773.93,31634.54,33973.57
2022-08-02,32805.8,32835.2,32401.65,32462.7,552729,32164.37,31824.95,31709.16,33957.83
2022-08-03,32484.2,32929.2,32397.2,32810.4,465069,32263.76,31897.95,31794.61,33943.09
2022-08-04,32799.5,32923.25,32657.75,32747.4,435945,32338.17,31960.87,31863.76,33927.89
2022-08-05,32735.8,32840.2,32488.25,32770.4,452612,32404.66,32020.83,31932.58,33914.03
2022-08-08,32783.8,33124.2,32726.2,32908.4,456050,32482.16,32086.58,32017.03,33899.72
2022-08-09,32880,32931.2,32708.2,32814.7,429620,32533.32,32140.51,32107.1,33884.51
2022-08-10,32805.5,33379.75,32726.7,33338.7,441068,32657.23,32229.27,32236.37,33871.64
2022-08-11,33331.2,33667.75,33291.75,33396.2,467731,32770.91,32315.71,32373.51,33858.44
2022-08-12,33394.2,33772.2,33335.2,33758.4,395814,32922.83,32422.57,32496.76,33846.51
2022-08-15,33744.8,33973.75,33533.25,33890.2,371359,33071.66,32531.29,32636.05,33835.44
2022-08-16,33888.5,34295.75,33837.25,34177.2,402695,33241.74,32653.21,32752.2,33824.85
2022-08-17,34146.2,34212.2,33837.75,34027.2,466366,33362.58,32754.98,32861.69,33812.92
2022-08-18,33999.5,34079.75,33845.75,34014.4,422895,33462.86,32848.27,32961.2,33801.55
2022-08-19,34008.8,34022.2,33630.75,33707.4,434458,33500.48,32911.91,33051.93,33789.64
2022-08-22,33618.2,33651.2,33015.2,33118.7,450529,33441.75,32927.23,33112.6,33775.42
2022-08-23,33106.8,33192.75,32861.75,32906.7,477000,33359.43,32925.71,33167.37,33759.32
2022-08-24,32910.2,33103.75,32770.75,32976.35,435128,33300.5,32929.46,33206.41,33743.66
2022-08-25,32988.2,33308.55,32893.75,33241.2,432591,33291.37,32952.55,33237.86,33728.99
2022-08-26,33259.8,33466.75,32172.9,32177.4,488449,33119.99,32895.13,33203.89,33710.33
2022-08-29,32083.2,32330.75,31955.5,32152.7,526522,32971.18,32840.14,33169.84,33691.65
2022-08-30,32141.8,32375.75,31646.75,31818.35,508539,32793.82,32764.45,33137.62,33672.5
2022-08-31,31769.5,31994.2,31493.55,31558.35,535939,32603.75,32675.11,33075.02,33651.93
2022-09-01,31558.8,31676.6,31219.75,31656.35,561449,32457.99,32599.65,33020.47,33631.17
2022-09-02,31649,32027.75,31182.2,31385.4,519750,32292.98,32509.7,32951.22,33608.89
2022-09-05,31355.5,31472.2,31282.5,31432.75,237503,32160.64,32429.93,32877.43,33586.81
2022-09-06,31438.5,31601.25,31050.75,31160.35,543563,32006.75,32335.88,32794.72,33568.89
2022-09-07,31154.5,31651.75,30983.2,31579.2,483689,31940.97,32279.83,32706.74,33550.82
2022-09-08,31589.8,31815.2,31308.75,31804.35,497072,31919.95,32244.61,32627.15,33536.95
2022-09-09,31784.5,32236.2,31766.2,32152.4,354378,31955.71,32237.78,32546.85,33527.47
2022-09-12,32253.2,32524.75,32148.2,32447.35,346967,32031.35,32253.31,32474.71,33515.99
2022-09-13,32464.2,32679,31050.2,31177.35,423680,31899.96,32173.61,32324.71,33498.89
2022-09-14,31188.2,31307.75,30906.2,31212.35,513334,31794.18,32102.4,32183.97,33478.44
2022-09-15,31189.2,31301.75,30891.75,30939.35,457230,31662.67,32016.25,32030.22,33454.09
2022-09-16,30851.8,30934.4,30564.75,30933.9,454920,31550.55,31936.08,31891.54,33429.91
2022-09-19,30874.2,31104.2,30510.75,31074.35,445937,31477.29,31872.24,31789.33,33406.45
2022-09-20,31077.8,31181.2,30480.75,30764.2,486864,31367.58,31790.17,31682.2,33380.15
2022-09-21,30744.2,31037.75,30130.2,30169.35,507336,31183.24,31670.11,31541.85,33352.41
2022-09-22,30194.2,30424.75,29978.2,30111.7,602130,31018.39,31554.67,31385.38,33324.97
2022-09-23,30122.2,30173.2,29251.3,29610.9,579936,30801.85,31410.69,31257.05,33293.17
2022-09-26,29554.5,29677.75,29170.75,29278.7,649922,30567.52,31252.76,31113.35,33259.73
